Cuba,51.9,60.8,65.8,69.8,76.5,77.8,79.1,81.5,83.9,85.1,86.2,86.7,86.7
Cyprus,45.4,53.4,59.1,65.8,72.2,73.2,76,77,77,77,77,78.2,78.2
Czechia,58.4,83.2,99.1,99.8,99.8,99.8,99.9,99.8,99.8,99.8,99.8,99.8,99.8
Côte d'Ivoire,5.5,7.3,9.4,11.8,14,14.7,15.3,15.9,16.6,16.6,17.2,17.8,17.8
Denmark,58,67.1,87.3,100,96.1,96.5,95.5,99.7,89.1,89.1,89.1,90.1,89.2
Dominican Republic,25.9,31.4,30.9,39.8,53.3,54.7,55.6,56.5,57.2,57.2,57.2,58.6,58.6
Ecuador,33.3,36.7,37.4,38.6,40.1,42.6,45.1,47.6,48.2,48.2,52.1,52.1,51.9
Egypt,15.4,21.1,28.3,35.2,43.9,46.5,49.2,51.9,54.5,54.5,57.2,58.2,59.2
El Salvador,15.1,20,26.7,34.2,39,36,36.8,38,39.4,40.9,41.5,40.1,39.9
Estonia,58.5,74.7,85.9,96,100,100,100,100,100,100,100,100,100
Eswatini (Kingdom of),29.8,28.4,24,16.4,21.9,23.2,24.6,26,27.3,27.3,28.7,30,31.3
Ethiopia,..,..,..,3.3,7,7.8,8.7,9.7,10.8,10.8,11.2,11.2,11.5
Fiji,30.3,44.4,48.6,55,64.3,66.6,69,71.5,73.9,73.9,76.3,77.3,78.3
Finland,65.9,86.2,94.6,100,100,100,100,100,100,100,100,100,100
France,44.4,57.1,67.6,71.3,76.4,77.2,78,78.7,79.7,79.7,80.6,80.6,81
Gabon,29.8,36,42.7,48.8,53.9,56,58.1,60.2,62.3,62.3,64.4,65.6,65.6
Gambia,5.5,8.5,9.7,13.2,17.4,19.4,21.3,23.3,25.3,25.3,27.3,29,30.7
Georgia,83.9,86.2,88.7,91.2,93.7,94.2,94.7,95.4,96.1,96.1,95.1,95.1,97.4
Germany,47.7,60.6,70.3,96.5,96,96.3,96.3,96.2,96.4,96.4,96.2,96.2,96
Ghana,26.7,32.2,36.8,40.3,45.2,46.9,48.5,50.2,51.8,51.8,53.5,54.6,55.7
Greece,34.9,41.9,48.5,53.9,59.5,60.6,61.6,62.6,63.7,63.7,65.4,65.4,61.5
Guatemala,11.9,13.7,15.5,13.3,18.3,19.8,21.2,22.7,37.4,37.4,38.4,38.4,38.4
Guyana,32.5,40.6,51.4,55.9,60.3,62.3,64.2,66.2,68.1,68.1,70.1,70.9,70.9
Haiti,10.8,13.5,16.6,19.7,22.4,23.2,24,24.9,25.7,25.7,26.5,26.9,26.9
Honduras,18.6,21.8,23.8,26.3,28,28.2,28,30.7,33.4,35.4,36.8,36.8,34.2
"Hong Kong, China (SAR)",47.9,55.4,61.1,66.4,70.8,72.2,73,73.8,74.7,75.7,75.7,75.7,76.6
Hungary,34.8,65,83.8,88,97.4,97.8,97.9,98,95.6,95.6,95.7,95.7,96.3
Iceland,46.5,52.2,71.6,91,98,100,100,100,100,100,100,100,100
India,13.4,15,23.5,21.8,27,29.1,31.2,33.3,35.3,35.3,37.4,39,39
Indonesia,13.8,17.4,26.1,34.8,38.6,39.9,40.9,41.9,42.9,42.9,44.5,44.5,44.5
Iran (Islamic Republic of),26,34.7,47.9,58.5,60,60.9,61.8,64.9,66.8,66.8,65.8,65.8,67.4
Iraq,12.8,17.5,21.2,25.2,27.8,29.8,31.8,33.8,35.8,35.8,37.8,38.7,39.5
Ireland,59.6,66.9,72.9,74.8,79.4,80.5,82.6,84.7,86.8,86.8,88.3,90.2,90.2
Israel,66.7,70.1,71.4,72.6,83.1,84,84.4,87,87.3,87.3,87.8,87.8,87.8
